region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
333,2,0.0029,0.0038,FALSE,FALSE,FALSE,0.0352,0.0352
334,1,0.0046,NA,FALSE,NA,FALSE,0.0151,0.0402
335,2,0.0265,0.6318,TRUE,TRUE,FALSE,0.1055,0.7588
336,2,8e-4,0.0078,FALSE,FALSE,FALSE,0.0101,0.0553
337,2,8e-4,0.3161,FALSE,TRUE,FALSE,0.0151,0.5226
338,2,2e-4,0.2263,FALSE,TRUE,FALSE,0,0.402
339,2,3e-4,0.009,FALSE,FALSE,FALSE,0.0151,0.0653
340,1,0.1316,NA,TRUE,NA,FALSE,0.1809,0.2362
341,2,0.001,0.0894,FALSE,TRUE,FALSE,0.0101,0.1709
342,2,0.0043,0.0259,FALSE,TRUE,FALSE,0.0302,0.1357
343,1,0.0052,NA,FALSE,NA,FALSE,0.0402,0.0402
344,2,0.0011,0.0045,FALSE,FALSE,FALSE,0.0251,0.0352
345,2,0,0.0846,FALSE,TRUE,FALSE,0,0.201
346,2,0,4e-4,FALSE,FALSE,FALSE,0,0
347,1,0.1161,NA,TRUE,NA,FALSE,0.1759,0.2312
348,1,0.0804,NA,TRUE,NA,FALSE,0.1357,0.1859
349,2,0,0.0033,FALSE,FALSE,FALSE,0,0.0151
350,2,0.007,0.0212,FALSE,TRUE,FALSE,0.0905,0.1457
351,2,0,1e-4,FALSE,FALSE,FALSE,0,0
352,2,0.0028,0.2773,FALSE,TRUE,FALSE,0.0251,0.5176
353,2,0.0282,0.4157,TRUE,TRUE,FALSE,0.2161,0.6734
354,2,5e-4,0.0093,FALSE,FALSE,FALSE,0.0251,0.0905
355,2,1e-4,0.0395,FALSE,TRUE,FALSE,0,0.1608
356,2,0.0242,0.0022,TRUE,FALSE,FALSE,0.0653,0.0151
357,2,0,0.0063,FALSE,FALSE,FALSE,0,0.0201
358,2,0.1046,0.4145,TRUE,TRUE,FALSE,0.3668,0.6884
359,2,0.0194,0.0721,TRUE,TRUE,FALSE,0.1156,0.2714
360,2,0.0095,0.2266,FALSE,TRUE,FALSE,0.0603,0.4271
361,2,0.0112,0.0076,TRUE,FALSE,FALSE,0.0251,0.0402
362,2,0.0087,0.0015,FALSE,FALSE,FALSE,0.0603,0.005
363,2,0.073,0.0014,TRUE,FALSE,FALSE,0.201,0.0402
364,2,0.0079,0.0287,FALSE,TRUE,FALSE,0.0704,0.1658
365,2,3e-4,0.0579,FALSE,TRUE,FALSE,0,0.1759
366,2,0.0319,5e-4,TRUE,FALSE,FALSE,0.1608,0.0101
367,2,0.002,0.2099,FALSE,TRUE,FALSE,0.0201,0.4271
368,2,0.0011,0.0025,FALSE,FALSE,FALSE,0.0151,0.0452
369,1,0.0234,NA,TRUE,NA,FALSE,0.1005,0.0553
370,2,0.0056,0.0017,FALSE,FALSE,FALSE,0.0754,0.0352
371,2,0.0104,0.0016,TRUE,FALSE,FALSE,0.0653,0.0503
372,2,7e-4,0,FALSE,FALSE,FALSE,0.0101,0
373,2,0.5984,0.0598,TRUE,TRUE,FALSE,0.799,0.2563
374,2,0.5869,0.2038,TRUE,TRUE,FALSE,0.799,0.5075
