region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
431,2,0,6e-4,FALSE,FALSE,FALSE
432,2,0,2e-4,FALSE,FALSE,FALSE
433,2,0.1506,0.0019,TRUE,FALSE,FALSE
434,2,0.0153,0.1395,TRUE,TRUE,FALSE
435,2,0.0953,0.0073,TRUE,FALSE,FALSE
436,1,0.2541,NA,TRUE,NA,FALSE
437,1,0.9674,NA,TRUE,NA,FALSE
438,2,0,0.0044,FALSE,FALSE,FALSE
439,2,0,0.0014,FALSE,FALSE,FALSE
440,2,0.0158,0.5315,TRUE,TRUE,FALSE
441,1,0.5696,NA,TRUE,NA,FALSE
442,2,0,0.1555,FALSE,TRUE,FALSE
443,2,0.0012,0.2181,FALSE,TRUE,FALSE
444,2,0.0013,0.2317,FALSE,TRUE,FALSE
445,1,0.2259,NA,TRUE,NA,FALSE
446,2,4e-4,0.0863,FALSE,TRUE,FALSE
447,1,0.1329,NA,TRUE,NA,FALSE
448,2,0,0.1188,FALSE,TRUE,FALSE
449,2,2e-4,0.761,FALSE,TRUE,FALSE
450,2,0,0.1825,FALSE,TRUE,FALSE
451,2,1e-4,0.012,FALSE,TRUE,FALSE
452,2,1e-4,0.4687,FALSE,TRUE,FALSE
453,1,0,NA,FALSE,NA,FALSE
454,2,0.0011,0.817,FALSE,TRUE,FALSE
455,2,3e-4,0.7172,FALSE,TRUE,FALSE
456,2,0,1e-4,FALSE,FALSE,FALSE
457,2,0,0.2455,FALSE,TRUE,FALSE
458,2,5e-4,0,FALSE,FALSE,FALSE
459,2,0,8e-4,FALSE,FALSE,FALSE
460,2,0,1e-4,FALSE,FALSE,FALSE
461,2,0,0.0282,FALSE,TRUE,FALSE
462,2,0.0014,0.0892,FALSE,TRUE,FALSE
463,2,1e-4,0.0399,FALSE,TRUE,FALSE
464,2,5e-4,0.026,FALSE,TRUE,FALSE
465,1,0.0122,NA,TRUE,NA,FALSE
466,2,0,0.0044,FALSE,FALSE,FALSE
467,2,0.0403,0.4327,TRUE,TRUE,FALSE
468,NA,NA,NA,NA,NA,TRUE
469,2,0.0915,0.0941,TRUE,TRUE,FALSE
470,2,0.0035,0.009,FALSE,FALSE,FALSE
471,2,7e-4,0.3369,FALSE,TRUE,FALSE
472,2,0,0.0088,FALSE,FALSE,FALSE
473,2,0.5585,0.1604,TRUE,TRUE,FALSE
474,2,0,0.1277,FALSE,TRUE,FALSE
475,2,0.0016,0.0132,FALSE,TRUE,FALSE
476,2,0.0281,0.4836,TRUE,TRUE,FALSE
477,2,0,0.0168,FALSE,TRUE,FALSE
478,2,0.0145,0.2722,TRUE,TRUE,FALSE
479,2,0.0248,0.2824,TRUE,TRUE,FALSE
480,2,0,0.0173,FALSE,TRUE,FALSE
481,1,0.0547,NA,TRUE,NA,FALSE
482,2,0.3323,0.1463,TRUE,TRUE,FALSE
483,2,0.0032,0.0229,FALSE,TRUE,FALSE
484,2,0.0231,0.1292,TRUE,TRUE,FALSE
485,1,0.1036,NA,TRUE,NA,FALSE
486,2,0,1e-4,FALSE,FALSE,FALSE
487,1,0.0112,NA,TRUE,NA,FALSE
488,2,0.0022,0.4526,FALSE,TRUE,FALSE
489,2,0,0.1037,FALSE,TRUE,FALSE
490,2,0,0,FALSE,FALSE,FALSE
491,2,0.0265,0.078,TRUE,TRUE,FALSE
492,2,0.0032,0.0651,FALSE,TRUE,FALSE
493,2,0.0011,0.8212,FALSE,TRUE,FALSE
494,2,0.0105,0.1687,TRUE,TRUE,FALSE
495,1,0.0459,NA,TRUE,NA,FALSE
496,2,2e-4,0.266,FALSE,TRUE,FALSE
497,2,7e-4,0.1489,FALSE,TRUE,FALSE
498,2,1e-4,0.058,FALSE,TRUE,FALSE
499,2,6e-4,0.132,FALSE,TRUE,FALSE
500,2,0.0015,0.1104,FALSE,TRUE,FALSE
501,1,1e-4,NA,FALSE,NA,FALSE
502,1,0.0376,NA,TRUE,NA,FALSE
503,2,0.014,0.3178,TRUE,TRUE,FALSE
504,1,0.0076,NA,FALSE,NA,FALSE
505,1,0.0235,NA,TRUE,NA,FALSE
506,1,0.9497,NA,TRUE,NA,FALSE
507,2,0.0019,0.0645,FALSE,TRUE,FALSE
508,2,0.0051,0.0588,FALSE,TRUE,FALSE
509,1,0.2,NA,TRUE,NA,FALSE
510,2,0,0.0011,FALSE,FALSE,FALSE
511,2,0.0062,0.171,FALSE,TRUE,FALSE
