region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
441,2,1e-4,0.1815,FALSE,TRUE,FALSE
442,2,5e-4,0.2413,FALSE,TRUE,FALSE
443,2,0.0043,0.1244,FALSE,TRUE,FALSE
444,2,8e-4,0.6769,FALSE,TRUE,FALSE
445,1,0.0522,NA,TRUE,NA,FALSE
446,2,1e-4,0.0338,FALSE,TRUE,FALSE
447,1,0.0999,NA,TRUE,NA,FALSE
448,2,0,0.0497,FALSE,TRUE,FALSE
449,2,0,0.5738,FALSE,TRUE,FALSE
450,2,0,0.094,FALSE,TRUE,FALSE
451,2,0.0019,0.0126,FALSE,TRUE,FALSE
452,2,0,0.3488,FALSE,TRUE,FALSE
453,1,0,NA,FALSE,NA,FALSE
454,2,2e-4,0.3093,FALSE,TRUE,FALSE
455,2,1e-4,0.6769,FALSE,TRUE,FALSE
456,2,0,2e-4,FALSE,FALSE,FALSE
457,2,0,0.117,FALSE,TRUE,FALSE
458,2,1e-4,0,FALSE,FALSE,FALSE
459,2,0,0.0058,FALSE,FALSE,FALSE
460,2,0,1e-4,FALSE,FALSE,FALSE
461,2,0,0.161,FALSE,TRUE,FALSE
462,2,0.0075,0.0594,FALSE,TRUE,FALSE
463,2,0,0.008,FALSE,FALSE,FALSE
464,2,1e-4,0.0748,FALSE,TRUE,FALSE
465,1,0.0262,NA,TRUE,NA,FALSE
466,2,0,0.0091,FALSE,FALSE,FALSE
467,2,0.0056,0.4671,FALSE,TRUE,FALSE
468,1,0.2024,NA,TRUE,NA,FALSE
469,2,0,0.4579,FALSE,TRUE,FALSE
470,2,0.0018,0.0217,FALSE,TRUE,FALSE
471,2,6e-4,0.0876,FALSE,TRUE,FALSE
472,2,0,0.0048,FALSE,FALSE,FALSE
473,2,0.4042,0.21,TRUE,TRUE,FALSE
474,2,0,0.0403,FALSE,TRUE,FALSE
475,2,0,0.0138,FALSE,TRUE,FALSE
476,2,0.0055,0.0813,FALSE,TRUE,FALSE
477,2,0,0.0045,FALSE,FALSE,FALSE
478,2,0,0.0203,FALSE,TRUE,FALSE
479,2,0.0027,0.4779,FALSE,TRUE,FALSE
480,2,0,0.0253,FALSE,TRUE,FALSE
481,2,3e-4,0.004,FALSE,FALSE,FALSE
482,2,0.0554,0.7868,TRUE,TRUE,FALSE
483,2,0,0.5011,FALSE,TRUE,FALSE
484,2,0,0.0206,FALSE,TRUE,FALSE
485,1,0.0166,NA,TRUE,NA,FALSE
486,2,0,0,FALSE,FALSE,FALSE
487,2,6e-4,0.0792,FALSE,TRUE,FALSE
488,2,3e-4,0.4295,FALSE,TRUE,FALSE
489,2,0,0.0751,FALSE,TRUE,FALSE
490,2,0,0.0157,FALSE,TRUE,FALSE
491,2,5e-4,0.0327,FALSE,TRUE,FALSE
492,2,9e-4,0.1753,FALSE,TRUE,FALSE
493,2,3e-4,0.0051,FALSE,FALSE,FALSE
494,2,7e-4,0.7497,FALSE,TRUE,FALSE
495,1,0.3329,NA,TRUE,NA,FALSE
496,2,1e-4,0.5613,FALSE,TRUE,FALSE
497,2,4e-4,0.4454,FALSE,TRUE,FALSE
498,2,3e-4,0.2048,FALSE,TRUE,FALSE
499,2,1e-4,0.2316,FALSE,TRUE,FALSE
500,2,0.0012,0.0202,FALSE,TRUE,FALSE
501,1,0,NA,FALSE,NA,FALSE
502,1,0,NA,FALSE,NA,FALSE
503,2,0.0079,0.5274,FALSE,TRUE,FALSE
504,2,0,3e-4,FALSE,FALSE,FALSE
505,1,0.0984,NA,TRUE,NA,FALSE
506,2,0.0086,0.5971,FALSE,TRUE,FALSE
507,2,0.0433,0.7124,TRUE,TRUE,FALSE
508,2,0,0.0069,FALSE,FALSE,FALSE
509,1,0.111,NA,TRUE,NA,FALSE
510,2,0,4e-4,FALSE,FALSE,FALSE
511,2,0,0.4697,FALSE,TRUE,FALSE
512,2,0.0111,5e-4,TRUE,FALSE,FALSE
513,2,0,2e-4,FALSE,FALSE,FALSE
514,2,0,0.7036,FALSE,TRUE,FALSE
515,2,0,0.9277,FALSE,TRUE,FALSE
