region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
368,2,0,3e-4,FALSE,FALSE,FALSE,0,0.005
369,1,7e-4,NA,FALSE,NA,FALSE,0.0201,0.005
370,2,0.0011,0.2732,FALSE,TRUE,FALSE,0.0201,0.4573
371,2,3e-4,0.2806,FALSE,TRUE,FALSE,0.0101,0.4623
372,2,9e-4,4e-4,FALSE,FALSE,FALSE,0.0151,0.0151
373,2,1e-4,0.1709,FALSE,TRUE,FALSE,0.005,0.3819
374,2,4e-4,0.4284,FALSE,TRUE,FALSE,0.0251,0.5578
375,2,0,0.5041,FALSE,TRUE,FALSE,0,0.6734
376,2,0,0,FALSE,FALSE,FALSE,0,0
377,2,0,0.0712,FALSE,TRUE,FALSE,0,0.2312
378,2,0.0323,0.0313,TRUE,TRUE,FALSE,0.1608,0.1508
379,2,3e-4,0.3499,FALSE,TRUE,FALSE,0.0101,0.5729
380,2,0,0.0032,FALSE,FALSE,FALSE,0,0.0101
381,2,3e-4,0.5297,FALSE,TRUE,FALSE,0.0201,0.6884
382,2,0,2e-4,FALSE,FALSE,FALSE,0,0
383,2,0,0.0087,FALSE,FALSE,FALSE,0.005,0.0503
384,2,0,0.001,FALSE,FALSE,FALSE,0,0.0101
385,2,0.013,0.8023,TRUE,TRUE,FALSE,0.0804,0.9045
386,2,0,0.011,FALSE,TRUE,FALSE,0,0.0553
387,2,0,0.0384,FALSE,TRUE,FALSE,0,0.0653
388,2,0,0.068,FALSE,TRUE,FALSE,0,0.1608
389,2,9e-4,0.7493,FALSE,TRUE,FALSE,0.0201,0.8693
390,1,0.1198,NA,TRUE,NA,FALSE,0.2161,0.1809
391,2,0,0.9738,FALSE,TRUE,FALSE,0.0151,0.9749
392,2,0,0.0339,FALSE,TRUE,FALSE,0.005,0.1106
393,2,0.0017,0.007,FALSE,FALSE,FALSE,0.0251,0.0653
394,1,0.7658,NA,TRUE,NA,FALSE,0.8693,0.8492
395,2,0,0.0202,FALSE,TRUE,FALSE,0,0.0452
