;SEM IIS;;;;COM IIS;;;;0;1;1
region;AIC;BIC;HaQ;;AIC;BIC;HaQ;;;;
290;27,9528;30,8615;29,1204;;27,0518;28,2153;27,5188;;1;1;1
291;24,6439;27,5527;25,8115;;23,6859;24,6643;24,0786;;1;1;1
292;26,4374;29,3461;27,605;;26,2664;27,0861;26,5954;;1;1;1
293;30,1128;33,0216;31,2805;;29,6579;30,4776;29,9869;;1;1;1
294;27,6444;30,5531;28,812;;27,0278;27,8739;27,3674;;1;1;1
295;25,0218;27,9306;26,1895;;24,5767;25,3435;24,8845;;1;1;1
296;27,8841;30,7928;29,0517;;27,0957;28,5236;27,6689;;1;1;1
297;29,4387;32,3475;30,6064;;29,0412;29,7287;29,3172;;1;1;1
298;31,7158;34,6245;32,8834;;31,242;32,2997;31,6666;;1;1;1
299;29,9977;32,9064;31,1653;;29,415;30,7636;29,9564;;1;1;1
300;32,7901;35,6989;33,9578;;32,2627;33,4262;32,7297;;1;1;1
301;27,7795;30,6883;28,9472;;27,758;28,3133;27,9809;;1;1;1
302;28,7086;31,6174;29,8763;;28,0503;29,1345;28,4855;;1;1;1
303;26,5203;29,4291;27,6879;;26,3103;26,8921;26,5439;;1;1;1
304;27,0643;29,973;28,2319;;26,9205;27,8195;27,2814;;1;1;1
305;21,8368;24,7456;23,0045;;21,4418;22,0764;21,6965;;1;1;1
306;27,5755;30,4842;28,7431;;24,9112;25,8103;25,2721;;1;1;1
307;27,1592;30,068;28,3268;;26,8103;27,5242;27,0969;;1;1;1
308;25,1431;28,0518;26,3107;;24,9856;25,5145;25,1979;;1;1;1
309;27,2736;30,1823;28,4412;;26,9881;27,8078;27,3171;;1;1;1
310;27,7725;30,6812;28,9401;;27,2058;28,3429;27,6623;;1;1;1
311;28,8975;31,8062;30,0651;;28,4104;29,3095;28,7713;;1;1;1
312;26,5102;29,4189;27,6778;;26,2004;26,8879;26,4764;;1;1;1
313;26,496;29,4048;27,6637;;25,7508;26,5969;26,0904;;1;1;1
314;28,0533;30,9621;29,221;;26,965;27,7318;27,2728;;1;1;1
315;31,277;34,1857;32,4446;;30,4032;31,3287;30,7747;;1;1;1
316;26,0219;28,9306;27,1895;;25,5504;26,1586;25,7946;;1;1;1
317;24,1783;27,087;25,3459;;23,6083;24,481;23,9586;;1;1;1
318;27,3068;30,2156;28,4744;;26,6326;27,7961;27,0996;;1;1;1
319;26,9878;29,8965;28,1554;;26,8324;27,4406;27,0766;;1;1;1
320;26,2037;29,1124;27,3713;;25,8713;26,6646;26,1897;;1;1;1
321;30,5021;33,4109;31,6697;;29,6092;30,6405;30,0232;;1;1;1
322;32,4781;35,3869;33,6457;;31,5863;32,4589;31,9366;;1;1;1
323;25,4915;28,3738;26,6485;;25,0893;26,0413;25,4715;;1;1;1
324;24,016;26,8983;25,173;;23,0687;24,3115;23,5676;;1;1;1
325;36,1561;39,0648;37,3237;;35,8585;36,9692;36,3044;;1;1;1
326;28,0698;30,9521;29,2268;;27,355;28,3862;27,7689;;1;1;1
327;25,7203;28,6026;26,8774;;24,9656;26,2084;25,4645;;1;1;1
328;28,2752;31,1839;29,4428;;27,579;28,716;28,0354;;1;1;1
329;28,1153;31,0241;29,283;;27,4886;28,6257;27,9451;;1;1;1
330;25,8407;28,7494;27,0083;;25,2088;25,8698;25,4741;;1;1;1
331;26,5603;29,469;27,7279;;26,3487;26,9305;26,5823;;1;1;1
332;33,8477;36,7565;35,0154;;32,165;33,6723;32,7701;;1;1;1
333;32,8211;35,7299;33,9888;;32,1133;32,8008;32,3893;;1;1;1
334;26,558;29,4403;27,715;;26,3353;26,8642;26,5476;;1;1;1
335;23,4909;26,3732;24,6479;;22,7061;23,8167;23,1519;;1;1;1
336;29,0012;31,9099;30,1688;;27,5283;28,3216;27,8467;;1;1;1
337;21,8696;24,7783;23,0372;;20,3776;21,4618;20,8128;;1;1;1
